studyid,Paper,acreage,year,peer_review,methodology,nation,wl_policy,ecosystemservicesgoal,usepenalties,useincentives,low_lowmid_uppmid_high,latitude,longitude,pop_Density,agProd,pcgdp,amphibians,birds,Cpi_new/cpiold,provisioning_US_ha,regulation_US_ha,id_prov,id_regul,Provisioning,Regulation
1,Acharya (2000),3500,2000,1,1,Nigeria,0,0,0,0,1,12.687655,10.576733,195.304703,97,2396.31,12,326,8.112837838,63.7,0,1,0,23250.5,0
2,Barbier (1993),1.64,2993,1,1,Nigeria,0,0,0,0,1,12.590297,10.573917,135.6866,97,2396.31,12,332,8.112837838,322.1,0,1,0,117566.5,0
3,Beas and Smith (2014),1000,2014,1,0,United States,1,1,1,1,3,40.708333,-99.081111,1499.638062,118,54579,8,142,1.060795873,0,0,0,0,0,0
4,Berry et al. (2017),,2017,1,1,Canada,1,1,1,1,3,49.55400278,-98.83679722,1.514423,98,51391.7,8,185,1.013305947,119.94,0,1,0,43778.1,0
5,Bo et al. (2013),4.2,2013,1,0,China,1,1,0,1,2,31.15149519,108.5703453,225.173004,148,7752,13,239,1.093558834,0,0,0,0,0,0
6,Bortolotti (2016),15550,2016,1,0,Canada,1,1,1,1,3,51.041111,-102.056111,0.106397,98,51391.7,5,178,1.038824383,0,11.02690411,0,1,0,4024.82
7,Colloff et al. (2016) a,6000000,2016,1,0,Australia,0,0,0,1,3,-35.113509,139.26461,535.584595,115,56842,7,277,1.038949595,911.87,0.80230137,1,1,332832.55,292.8400001
8,Dadaser-Celik et al. (2009),17200,2009,1,1,Turkey,1,1,0,1,2,38.242222,35.185556,98.149033,113,15068,3,197,2.209857779,20.17,0,1,0,7362.05,0
9,Degregorio et al. (2014),10,2014,1,1,United States,1,1,1,1,3,33.420415,-81.690281,459.541779,118,54579,43,166,1.060795873,0,0,0,0,0,0
10,Drever et al. (2007),,2007,1,1,Canada & USA,1,1,1,1,3,48.997956,-102.797369,0.17458,118,54579,6,166,1.210935857,0,0,0,0,0,0
11,Duffy and Kahara (2011),198246,2011,1,0,United States,1,1,1,1,3,38.169114,-120.948486,49.650932,118,54579,10,200,1.116324157,12341.87,263.11,1,1,4504782.55,96035.15
12,Gleason et al. (2011),444574,2011,1,0,United States,1,1,1,1,3,49.45233152,-103.4218316,0.435943,118,54579,6,166,1.116324157,266.95,51.36,1,1,97436.75,18746.4
