variable,mean,sd,min,med,max,n.valid,pct.valid
acreage,873592.0607407407,2825127.2080685473,1.64,68932,13800000,27,100
agProd,114.5925925925926,29.3457627124222,64,115,181,27,100
amphibians,16.185185185185187,10.597666786162948,2,13,44,27,100
ecosystemservicesgoal,0.7777777777777778,0.4236592728681617,0,1,1,27,100
high_income,0.37037037037037035,0.4921028776234113,0,0,1,27,100
low_income,0.2222222222222222,0.4236592728681617,0,0,1,27,100
methodology,0.7037037037037037,0.4653216269680752,0,1,1,27,100
peer_review,0.5185185185185185,0.5091750772173156,0,1,1,27,100
pop_Density,754.9136883703704,2223.0395625160418,0,120.7,10164.5,27,100
provisioning_US_ha,1644.7938297113703,3167.5429089994745,4e-4,63.7,12341.87,27,100
useincentives,0.8518518518518519,0.36201399289824565,0,1,1,27,100
usepenalties,0.4444444444444444,0.5063696835418333,0,0,1,27,100
wl_policy,0.6296296296296297,0.4921028776234113,0,1,1,27,100
year,48.74074074074074,189.5662239861133,4,15,997,27,100
